Number,Neighborhood,Location,@Photos,Datetime,Crime,Weapon,Description
122,Downtown,"251 E 6th St, Los Angeles",HC-122.png,"12:45 a.m. June 14, 2019",Vandalism,No weapon used,"The suspect vandalized the Central Community Police Station, causing $399 worth of damage or less. The crime was reported as a hate crime with ""Anti-Other Race/Ethnicity/Ancestry"" and ""Anti-Jewish"" biases."
123,Lincoln Heights,"2600 block of N. Broadway, Los Angeles",HC-123.png,"9:10 a.m. June 14, 2019",Aggravated assault ,Unknown weapon ,"The suspect used profanities and swung their weapon at the seven-year-old Hispanic female victim, who was attacked based on her gender. The crime was classified by the LAPD as a hate crime with an ""Anti-Hispanic or Latino"" bias. 
"
124,Lincoln Heights,"2600 block of N. Broadway, Los Angeles",HC-124.png,"9:10 a.m. June 14, 2019",Aggravated assault ,Unknown weapon,"The suspect used profanities and swung their weapon at the four-year-old Hispanic female victim, who was attacked because of her gender. The crime was classified by the LAPD as a hate crime with an ""Anti-Hispanic or Latino"" bias. 
"
125,Lincoln Heights ,"2600 block of N. Broadway, Los Angeles",HC-125.png,"9:10 a.m. June 14, 2019",Aggravated assault,Unknown weapon,"The suspect used profanities and swung their weapon at the 38-year-old Hispanic female victim, who was attacked because of her gender. The crime was classified by the LAPD as a hate crime with an ""Anti-Hispanic or Latino"" bias. 
"
126,Lincoln Heights ,"2600 block of N. Broadway, Los Angeles",HC-126.png,"9:10 a.m. June 14, 2019",Aggravated assault,Unknown weapon,"The suspect used profanities and swung their weapon at the six-year-old Hispanic male victim, who was attacked because of his gender. The crime was reported as a hate crime with an ""Anti-Hispanic or Latino"" bias."
127,Lincoln Heights ,"2600 block of N. Broadway, Los Angeles",HC-127.png,"9:10 a.m. June 14, 2019",Aggravated assault,Unknown weapon,"The suspect used profanities and swung their weapon at the four-year-old Hispanic female victim, who was attacked because of her gender. The crime was reported as a hate crime with an ""Anti-Hispanic or Latino"" bias. "
128,Lincoln Heights ,"2600 block of N. Broadway, Los Angeles",HC-128.png,"9:10 a.m. June 14, 2019",Aggravated assault,Unknown weapon,"The suspect used profanities and swung their weapon at the 62-year-old homeless Hispanic female victim, who was attacked because of her gender. The crime was reported as a hate crime with an ""Anti-Hispanic or Latino"" bias."
129,West Adams,3045 S La Brea Ave. Los Angeles,HC-129.png,"5 p.m. June 14, 2019",Vandalism,No weapon used,"A suspect vandalized the property of the 18-year-old victim by spraying graffiti at Spalding Mortuary, causing $400 worth of damage or more. The crime was reported as a hate crime with an ""Anti-Black or African American"" bias. The victim was also targeted because of their gender. "
130,Chatsworth,"10027 Lurline Ave., Chatsworth",HC-130.png,"5:45 p.m. June 14, 2019",Burglary ,No weapon used,The suspect burglarized Chatsworth Charter High School and sprayed graffiti on the property. 
131,Hollywood Hills,"2700 block of Nichols Canyon Rd., Los Angeles",HC-131.png,9 p.m. June 14,Vandalism,No weapon used,"The suspect vandalized the house of a 54-year-old white male victim, causing $400 worth of damage or more. There was another victim, who is described below."
132,Hollywood Hills,"2700 block of Nichols Canyon Rd., Los Angeles",HC-132.png,9 p.m. June 14,Vandalism,No weapon used,"The suspect vandalized the house of a 52-year-old white male victim, causing $400 worth of damage or more."
133,Beverly Grove,"Intersection of 3rd St. and La Cienega Blvd., Los Angeles",HC-133.png,2:45 a.m. June 16,Battery - simple assault,Strong arm,"On the sidewalk, the suspect kicked the 32-year-old black male victim. There is photographic evidence of the crime."
134,Fairfax,"Intersection of West Melrose Ave. and North Visa Ave. , Los Angeles",HC-134.png,11:45 a.m. June 17,Battery - simple assault,Unknown weapon,"The homeless suspect spat at the 33-year-old white male victim, who was attacked because of his gender. The crime was reported as a hate crime with an ""Anti-White"" bias. 
"
135,Chinatown,"900 block of North Broadway, Los Angeles",HC-135.png,8 p.m. June 17,Vandalism,No weapon used,"The suspect vandalized the car of the 51-year-old white female victim while using racial slurs and hate-related language. The vandalism resulted in $400 worth of damage or more. The crime was reported as a hate crime with an ""Anti-Black or African American” bias."
136,Granada Hills,"16800 block of Devonshire St, Los Angeles",HC-136.png,12:45 p.m. June 18,Miscellaneous crime,No weapon used,"The suspect threatened to harm, but not kill, the 61-year-old black male victim while using profanities."
138,Downtown,"400 block of South San Pedro St., Los Angeles",HC-138.png,10:45 a.m. June 20,Aggravated assault,Pepper spray,"The homeless suspect threatened to kill the 52-year-old black transgender female victim while using profanities. The crime was reported as a hate crime with ""Anti-Transgender and ""Anti-Gender Non-conforming"" biases."
139,Silver Lake,"1700 block of Griffith Park Blvd., Los Angeles",HC-139.png,9 p.m. June 20,Vandalism,No weapon used,"The suspect vandalized the single family dwelling of the 44-year-old Hispanic male victim, causing $399 worth of damage or less."
140,Downtown,"Intersection of Main and 7th St., Los Angeles",HC-140.png,10:30 p.m. June 21,Battery -- simple assault,Strong arm,The homeless suspect attacked the 56-year-old white male victim. The crime was reported as a hate crime with an “Anti-White” bias.
141,Crenshaw,"Intersection of Hillcrest Dr. and Martin Luther King Blvd., Los Angeles",HC-141.png,10:20 a.m. June 22,Brandish a weapon,Screwdriver,"The suspect used force the 35-year-old Hispanic male victim by using a vehicle and brandished their weapon at him, all the while using hate-related language. The victim did not know the suspect prior to the crime. The crime was reported as a hate crime with an ""Anti-Hispanic or Latino"" bias. "
142,Crenshaw,"Intersection of Hillcrest Dr. and Martin Luther King Blvd., Los Angeles",HC-142.png,10:20 a.m. June 22,Aggravated assault,Screwdriver,"The suspect assaulted the 31-year-old Hispanic male victim by using a vehicle and brandished their weapon at him, all the while using hate-related language. The victim did not know the suspect prior to the crime. The crime was reported as a hate crime with an ""Anti-Hispanic or Latino"" bias. "
143,Downtown,"700 block of South Figueroa St., Los Angeles",HC-143.png,6:34 p.m. June 24,Criminal threats,Unknown weapon ,"The suspect sent an email or text message containing death threats to the 19-year-old Hispanic transgender male victim as he was leaving a store, who was targeted because of his ""gender nonconformity.""  The crime was reported as a hate crime with an ""Anti-Transgender bias."""
144,Venice,"Intersection of Abbot Kinney and Washington Blvd., Los Angeles",HC-144.png,10 p.m. June 25,Brandish a weapon,Strong arm,The suspect intimidated the 56-year-old Asian female victim by brandishing a weapon and using racial slurs while in a vehicle. The crime was reported as a road rage incident and a dispute involving the victim’s employment.
145,North Hills,"15700 block of Parthenia St., Los Angeles",HC-145.png,10 p.m. June 27,Battery -- simple assault,Strong arm,"The suspect pushed the 29-year-old male victim while using hate-related language, knocking him to the ground."
146,Hancock Park,"Intersection of La Brea Ave. and 3rd St., Los Angeles",HC-146.png,8:45 p.m. June 28,Aggravated assault,Other weapon,"The suspect hit the 51-year-old white male victim, who was attacked because of his disability. The crime was reported as a hate crime with an “Anti-Jewish” bias."
147,North Hollywood,"Intersection of Vanowen St. and Lankershim Blvd., Los Angeles",HC-147.png,8:40 a.m. June 29,Other assault ,Unknown weapon,"The suspect threatened to harm, but not kill, the 48-year-old gay Hispanic male victim and sprayed him with a chemical near a bus stop."
148,Vermont Vista,"800 block of West Imperial Hwy., Los Angeles",HC-148.png,8 a.m. June 30,Aggravated assault,Strong arm,The suspect choked the 27-year-old black male victim in a halfway house. The crime was reported as a hate crime with “Anti-Gay” and “Gender Non-conforming” biases.
149,Palms,"10000 National Blvd., Los Angeles",HC-149.png,7: 40 p.m. June 30,Criminal threats,Verbal threat,"The suspect threatened to kill the 21-year-old male victim at Bob's Food Mart & Liquors, a local liquor store. The victim used hate-related language and was targeted because of his disability. The crime was reported as a hate crime with an ""Anti-Islamic (Muslim)"" bias."
150,Vermont Square,"700 block of West 53rd St., Los Angeles",HC-150.png,8 a.m. July 1,Vandalism,No weapon used,"The suspect vandalized the single family dwelling of the 62-year-old white male victim, causing $399 worth of damage or less. The crime was reported as a hate crime with an “Anti-Gay” bias."
151,Hollywood,"700 block of Cole Ave., Los Angeles",HC-151.png,11 p.m. July 1,Vandalism,No weapon used ,"The suspect vandalized a vacant single family dwelling, causing $399 worth of damage or less. "
152,West Hills,"Intersection of Fallbrook Ave. and Victory Blvd., Los Angeles",HC-152.png,5:40 p.m. July 3,Aggravated assault,Strong arm,The suspect hit the 37-year-old male victim at a parking lot.
153,Beverly Grove,"800 block of North Hayworth Ave., Los Angeles",HC-153.png,7:30 a.m. July 5,Vandalism,No weapon used,"The suspect vandalized a single family dwelling, causing $400 worth of damage or more. The victim was described as a 56-year-old white male victim and was attacked because of his gender. The crime was also reported as a hate crime with an “Anti-White” bias."
154,Porter Ranch,"18500 block of Devonshire St. , Los Angeles",HC-154.png,11:59 a.m. July 5,Criminal threats,Verbal threat,"The suspect threatened to harm, but not kill, the 53-year-old black male victim while using hate-related language."
155,Hollywood Hills,"3200 Bronson Canyon, Los Angeles ",HC-155.png,8:30 a.m. July 7,Battery -- simple assault,Strong arm,The suspect grabbed and kicked the 43-year-old Hispanic male victim to the ground while using hate-related language. 
156,East Hollywood,Intersection of Melrose and Oxford Ave. Los Angeles,HC-156.png,7:01 p.m. July 7,Vandalism,Strong arm,"The homeless suspect vandalized the vehicle of the 34-year-old white female victim, causing $400 worth of damage or more. The victim also used hate-related language."
157,Downtown,"600 block of West 7th St., Los Angeles",HC-157.png,2 a.m. July 9,Criminal threats,Verbal threat,"The suspect threatened to kill the 41-year-old Hispanic male victim in an office building. The victim was targeted because of his ""Race/Ethnicity/Ancestry.""  The crime was reported as a hate crime with an ""Anti-Hispanic or Latino"" bias. "
158,Watts,"9400 block of Firth Blvd., Los Angeles",HC-158.png,5:18 p.m. July 9 ,Criminal threats,Verbal threat,"The suspect threatened to harm, but not kill, the 33-year-old black female victim in a multi-unit dwelling. The victim was targeted because of her gender nonconformity. The crime was reported as a hate crime with an ""Anti-Lesbian bias."" "
159,Watts,"9400 block of Firth Blvd., Los Angeles",HC-159.png,5:18 p.m. July 9 ,Aggravated assault,Hammer,The suspect threw an object at the 36-year-old black female victim in a multi-unit dwelling. The victim was targeted based on the victim’s “gender nonconformity.” The crime was reported as a hate crime with an “Anti-Lesbian bias.” The suspect and victim were neighbors.
160,Watts,"9400 block of Firth Blvd., Los Angeles",HC-160.png,7:30 p.m. July 9 ,Aggravated assault,Other cutting instrument,"The suspect threw an object at the 36-year-old black female victim in a multi-unit dwelling, who was targeted because of her ""gender nonconformity."" The crime was reported as a hate crime with an ""Anti-Lesbian bias."" The suspect and victim were neighbors. "
161,Toluca Lake,"10500 block of Valley Spring Lane, Los Angeles",HC-161.png,7 a.m. July 10,Criminal threats,Unknown weapon,The suspect threatened to kill the 49-year-old male and his family in a single-family dwelling. The victim was targeted because of gender and disability. 
162,Koreatown,"3663 Wilshire Blvd., Los Angeles",HC-162.png,3 p.m. July 13,Vandalism,No weapon used,"The suspect vandalized Wilshire Boulevard Temple Synagogue, causing $400 worth of damage or more. "
163,Hollywood,Intersection of Highland and Willoughby Ave. Los Angeles,HC-163.png,1:20 p.m. July 13 ,Aggravated assault,Handgun,The suspect forcibly entered the car of the 29-year-old white female victim. The crime was also reported as a road rage incident. 
164,Woodland Hills,19819 Ventura Blvd. Los Angeles,HC-164.png,10 p.m. July 13,Vandalism,No weapon used,"The suspect painted graffiti on the property of the Hebrew Discovery Center Synagogue, causing $400 worth of damage or more. "
165,Fairfax,"Intersection of Vista and 3rd St., Los Angeles",HC-165.png,1:11 p.m. July 14,Battery -- simple assault,Strong arm,"The suspect hit the 56-year-old white male victim, who was targeted because of his gender. The crime was reported as a hate crime with an ""Anti-White"" bias. "
166,Valley Village,"5400 block of Babcock Ave., Los Angeles ",HC-166.png,7:30 a.m. July 15,Miscellaneous crime,No weapon used ,"The suspect used forced against the white female victim, who was targeted because of her disability. The crime was reported as a hate crime with an ""Anti-Jewish"" bias. "
167,Valley Village,"5400 block of Babcock Ave., Los Angeles ",HC-167.png,7:30 a.m. July 15,Miscellaneous crime,No weapon used ,"The suspect used forced against the 57-year-old white female victim, who was targeted because of her disability. The crime was reported as a hate crime with an ""Anti-Jewish"" bias. "
168,Beverly Grove,"Intersection of Ogden Dr. and 6th St., Los Angeles",HC-168.png,10:15 p.m. July 17,Battery -- simple assault,Unknown weapon,"The suspect used hate-related language and spat on the 25-year-old Hispanic male victim, who was a Uber/Lyft driver. The suspect was homeless and over the age of 60. The victim was targeted because of his ""Race/Ethnicity/Ancestry."" There was photographic evidence of the crime. The crime was reported as a hate crime with an ""Anti-Hispanic/Latino"" bias. "
169,Arlington Heights,"1500 block of Arlington Ave., Los Angeles",HC-169.png,12:30 a.m. July 18,Battery -- simple assault,Strong arm,"The suspect hit the 40-year-old Hispanic male victim, who was attacked because of his ""gender nonconformity."" The suspect also distributed hate crime materials. The crime was reported as a hate crime with an ""Anti-Gay"" bias. "
170,North Hollywood,10600 block of Magnolia Blvd. Los Angeles,HC-170.png,1:55 a.m. July 18,Criminal threats,Verbal threat,"The suspect threatened to kill the victim and made ""unusual statements"" toward the 31-year-old male victim at a mini-mart. The victim was targeted because of his disability. The suspect used a vehicle for the crime and did not know the victim prior to the crime. The crime was reported as hate crime with an ""Anti-Islamic (Muslim)"" bias. "
171,Adams-Normandie,"2625 Vermont Ave., Los Angeles",HC-171.png,9 a.m. July 21,Battery -- simple assault,Strong arm,"The suspect grabbed and hit the 40-year-old Hispanic male victim at the St. Agnes Catholic Church, who was targeted because of his gender. The suspect was over 60 years old and used a vehicle for his crime. The crime was reported as a hate crime with an ""Anti-Hispanic or Latino"" bias. "
172,Los Feliz,"4000 block of West Sunset Blvd., Los Angeles",HC-172.png,7 p.m. July 22,Vandalism,No weapon used ,"The suspect vandalized a local business, causing $399 worth of damage or less. "
173,Brentwood ,"1200 block of Barry Ave., Los Angeles ",HC-173.png,10:30 a.m. July 23,Burglary ,No weapon used ,"The suspect unlocked, ransacked and vandalized a multi-unit dwelling. The suspect also removed property from the 56-year-old white male victim while using profanities. The crime was reported as a hate crime with an ""Anti-Gay"" bias. "
174,Watts,"9500 block of Beach St., Los Angeles ",HC-174.png,12 p.m. July 23,Aggravated assault ,Vehicle ,"The victim was a 51-year-old black male victim, who was targeted because of his gender. The crime was reported as a hate crime with an ""Anti-Black or African American"" bias. "
175,Encino,"17661 Ventura Blvd., Los Angeles",HC-175.png,12:15 p.m. July 23,Aggravated assault ,Unknown weapon ,The suspect hit the 34-year-old male victim at a Mobil gas station. 
176,Mar Vista,"3400 block of Sawtelle Blvd., Los Angeles",HC-176.png,8 p.m. July 23,Vandalism,No weapon used ,"The suspect sprayed graffiti on the sidewalk, causing $400 worth of damage or more. "
177,Vermont Vista,"10100 block of South Hoover St., Los Angeles ",HC-177.png,9 a.m. July 24 ,Vandalism,Unknown weapon ,"The suspect vandalized a single family dwelling, causing $400 worth of damage or more. The victim was a 61-year-old black female transgender victim, who was targeted because of her ""Race/Ancestry/Ethnicity."" The suspect and the victim were neighbors. The crime was reported as a hate crime with an ""Anti-Transgender bias."" "
178,Canoga Park ,"Intersection of Owensmouth Ave. and Victory Blvd., Los Angeles",HC-178.png,11 a.m. July 25,Battery -- simple assault,Strong arm,"The suspect came out of their vehicle and hit the 25-year-old male victim at a parking lot. The crime was classified by the LAPD as a hate crime with an ""Anti-Arab"" bias. "
179,Glassell Park,"Intersection of Avenue 31 and Eagle Rock Blvd., Los Angeles",HC-179.png,8:30 a.m. July 26,Battery -- simple assault,Unknown weapon,"The homeless suspect, who was riding a bike, attacked the 61-year-old white male victim on the street while using hate-related language. "
180,Watts,"1400 block of East 108th St., Los Angeles ",HC-180.png,11 p.m. July 26,Aggravated assault ,Unknown weapon ,"The suspect hit the 38-year-old Hispanic female victim at a single family dwelling. The victim was targeted because of their ""gender-nonconformity."" The suspect and the victim were neighbors. "
181,Hyde Park,"5100 block of Arlington Blvd., Los Angeles",HC-181.png,4 p.m. July 28,Battery -- simple assault,Strong arm,The suspect hit the 73-year-old black male victim at a single-family dwelling while using racial slurs and hate-related language. 
182,Hyde Park,"5100 block of Arlington Blvd., Los Angeles ",HC-182.png,4 p.m. July 28,Battery -- simple assault,Strong arm,"The suspect swung their fist at the 63-year-old white male victim while using profanities and racial slurs, knocking the victim to the ground. The suspect and victim were roommates."
183,Sylmar ,"12100 block of Edgecliff Ave., Los Angeles",HC-183.png,6 p.m. July 28,Vandalism,No weapon used ,"The suspect vandalized the single-family dwelling of the 28-year-old white male victim, causing $399 worth of damage or less. "
184,East Hollywood,"600 block of North Oxford Ave., Los Angeles",HC-184.png,10:30 a.m. July 28,Battery -- simple assault,Strong arm,"The suspect attacked the 23-year-old Hispanic male victim, knocking him to the ground. The suspect used racial slurs and hate-related language. The suspect and the victim were both living at a short-term rental living space. "
185,North Hollywood,"5554 Cahuenga Blvd., Los Angeles ",HC-185.png,9 p.m. July 31,Vandalism,No weapon used ,"The suspect vandalized the property of a 37-year-old white female victim at the Cahuenga Nursery School, causing $399 worth of damages or less. The victim was targeted because of her gender. There is video footage of the crime. The crime was classified as a hate crime with an ""Anti-Other Race/Ethnicity/Ancestry"" bias."
186,Koreatown,"3600 block of Wilshire Blvd., Los Angeles",HC-186.png,5:30 a.m. August 2,Vandalism,No weapon used,"The suspect vandalized a construction site, causing $400 worth of damage or more. "
187,Van Nuys,"7600 block of Van Nuys Blvd., Los Angeles",HC-187.png,3:30 a.m. August 3,Battery -- simple assault,Strong arm,The suspect kicked the 45-year-old Hispanic female victim at a nightclub. 
188,Van Nuys,"7600 block of Van Nuys Blvd., Los Angeles",HC-188.png,3:30 a.m. August 3,Aggravated assault,Strong arm,The suspect swung their fist and kicked the 53-year-old Hispanic male victim. The victim was under the influence of drugs or alcohol and did not know the suspect prior to the crime. There was also photographic evidence of the crime. 
189,Baldwin Hills,"3700 block of S. La Brea Ave., Los Angeles",HC-189.png,10:30 a.m. August 3,Criminal threats,Verbal threat,"The suspect threatened to kill the 48-year-old white female security guard while using profanities and hate-related language. The suspect was in a wheelchair. The victim was on duty and she was targeted because of her race, ethnicity or ancestry. The crime was also classified as a hate crime with an ""anti-White"" bias. "
190,Venice,"300 block of Sunset Ave., Venice",HC-190.png,9 a.m. August 7,Vandalism,No weapon used ,"The suspect sprayed graffiti at a local business, causing $399 worth of damage or less. The victim was a 60-year-old white woman. "
191,Vermont Knolls,"8600 block of Orchard Blvd., Los Angeles",HC-191.png,12:25 p.m. August 7,Aggravated assault,Unknown weapon,"The suspect spat at the 29-year-old Hispanic female student victim, who was targeted because of her gender. The suspect wore a hoodie and made gang-related statements. The crime was classified as a gang-related crime as well a hate crime with an ""Anti-Hispanic or Latino"" bias."
192,Woodland Hills,"21901 Erwin St., Woodland Hills",HC-192.png,2:10 p.m. August 8,Criminal threats,Verbal threat,"The suspect threatened to harm, but not kill, the 53-year-old Hispanic female victim at a local McDonalds. The suspect was over 60 years old. The crime was classified as a hate crime with an ""anti-Hispanic or Latino"" bias. "
193,Mid-city,"1600 block of S. Hayworth Ave., Los Angeles",HC-193.png,9 p.m. August 8 ,Vandalism,No weapon used ,"While using profanities, the suspect smashed and broke the windows of property. The victim was a 33-year-old black male victim, who was targeted due to his gender. The suspect's vandalism cause more than $400 worth of damage. The crime was classified as a hate crime with an ""Anti-Black or African American bias."""
194,Fairfax,"Intersection of La Brea Ave. and Oakwood Ave., Los Angeles",HC-194.png,11:10 a.m. August 9,Aggravated assault,Stick,"The suspect hit the 20-year-old white male victim, who was targeted because of his disability. The crime was classified as a hate crime with an ""Anti-Jewish bias."""
195,Pacific Palisades,"14700 block of Pacific Coast Highway, Los Angeles",HC-195.png,2 p.m. August 10,Vandalism,No weapon used ,"The suspect sprayed graffiti on a local store, causing $399 worth of damage or less. "
196,Venice,"200 block of S. Main St., Los Angeles ",HC-196.png,5 p.m. August 10,Vandalism,No weapon used,"The suspect vandalized a local synagogue, causing $399 worth of damage or less. There were also hate crime materials or printouts or emails involved. "
197,Vermont Square,"Intersection of 77th St. and Vermont Ave., Los Angeles",HC-197.png,6 p.m. August 11,Miscellaneous crime,No weapon used ,The suspect hit the 62-year-old white male victim while using hate-related language. They were both passengers on a bus. 
198,Brentwood ,"12000 block of Wilshire Blvd., Los Angeles",HC-198.png,9:30 p.m. August 11,Brandish a weapon,Unknown cutting instrument,"The suspect, who was homeless or transient, followed the 46-year-old black female victim, who was targeted based on her race/ethnicity/ancestry. The suspect intimidated her with a weapon while using racial slurs and profanities. The crime was also classified as a hate crime with an ""Anti-Black or African American"" bias."
