Number,Neighborhood,Location,@Photos,Datetime,Crime,Weapon,Description
199,Brentwood ,"11700 block of Wilshire Blvd., Los Angeles",HC-199.png,11 p.m. August 11,Aggravated assault,Knife with a blade six inches or less in length ,"The suspect, who was homeless or transient, stabbed the 33-year-old Hispanic male victim while using profanities and hate-related language. The victim, who was targeted based on his sexual orientation, did not know the suspect prior to the crime. The crime was also classified as a hate crime with an ""Anti-Gay (Male) bias."" "
200,Downtown,"500 block of W. Temple St., Los Angeles",HC-200.png,2 p.m. August 12,Aggravated assault,Pepper spray,"The suspect hit, bit and pepper sprayed the 43-year-old white male victim, who was targeted because of his race/ethnicity/ancestry. He did not know the suspect prior to the crime. "
201,Silver Lake,"2800 block of Rowena Ave., Los Angeles",HC-201.png,10:11 a.m. August 13,Vandalism,Unknown weapon ,"The suspect vandalized a local business, causing $399 worth of damage or less. "
202,North Hollywood,"11400 block of Emelita St., Los Angeles",HC-202.png,8:10 p.m. August 16,Aggravated assault,Other firearm,"The suspect, who was in a vehicle, aimed their gun at the 40-year-old male victim while using profanities and racial slurs. The suspect was targeted based on his gender. The crime was also classified as a hate crime with an ""Anti Black or African American"" bias."
203,North Hills,"Intersection of Sepulveda Blvd. and Parthenia Pl., Los Angeles",HC-203.png,11 p.m. August 20,Battery -- simple assault,Strong arm,The suspect knocked the 50-year-old Hispanic female victim to the ground. 
204,Green Meadows,"Intersection of Central and Lanzit Ave., Los Angeles",HC-204.png,4:12 p.m. August 22,Aggravated assault,Strong arm,"The suspect exited the vehicle and hit the 53-year-old Black female victim, knocking her to the ground. She was targeted because of her gender. The crime was also classified by the LAPD as a hate crime with an ""Anti-Black or African American"" bias. "
205,Downtown,"107 E. 6th St., Los Angeles ",HC-205.png,10:05 p.m. August 23,Criminal threats,Verbal threat,"The suspect threatened to harm, but not kill, the 30-year-old Hispanic transgender female victim at the Las Perlas bar. The suspect did not know the victim prior to the crime. The victim was targeted because of her gender nonconformity. The crime was also classified as a hate crime with an ""Anti-Transgender"" bias. "
206,Downtown,"107 E. 6th St., Los Angeles ",HC-205.png,10:05 p.m. August 23,Criminal threats,Verbal threat,"The suspect threatened to harm, but not kill, the 40-year-old Hispanic transgender male victim at the Las Perlas bar. The suspect did not know the victim prior to the crime. "
207,Downtown,"107 E. 6th St., Los Angeles ",HC-205.png,10:05 p.m. August 23,Criminal threats,Verbal threat,"The suspect threatened to harm, but not kill, the 24-year-old Hispanic transgender female victim at the Las Perlas bar. The suspect did not know the victim prior to the crime. "
208,Downtown,"107 E. 6th St., Los Angeles ",HC-205.png,10:05 p.m. August 23,Criminal threats,Verbal threat,"The suspect threatened to harm, but not kill, the 30-year-old Hispanic transgender female victim at the Las Perlas bar. The suspect did not know the victim prior to the crime. "
209,Fairfax,"6300 block of W. 3rd St., Los Angeles",HC-209.png,12:01 a.m. August 24,Battery -- simple assault,Strong arm,"The suspect hit the 31-year-old black male victim, who was targeted because of his gender. The crime was also classified as a hate crime with an ""Anti-Black or African American"" bias."
210,Fairfax,"6300 block of W. 3rd St., Los Angeles",HC-209.png,12:01 a.m. August 24,Battery -- simple assault,Strong arm,"The suspect hit the 34-year-old black male victim, who was targeted because of his gender. The crime was also classified as a hate crime with an ""Anti-Black or African American"" bias."
211,Fairfax,"6300 block of W. 3rd St., Los Angeles",HC-209.png,12:01 a.m. August 24,Battery -- simple assault,Strong arm,"The suspect used forced against the Hispanic male victim, who was targeted because of his gender. The crime was also classified as a hate crime with an ""Anti-Hispanic or Latino bias."" "
212,Lake Balboa,"7800 block of Shoshone Ave., Los Angeles",HC-212.png,11:30 a.m. August 24 ,Aggravated assault,Unknown weapon,The suspect attacked the 49-year-old Hispanic female victim in a yard. 
213,North Hollywood,"Intersection of Vanowen St. and Troost Ave., Los Angeles",HC-213.png,9:50 p.m. August 24,Aggravated assault,Metal pipe,The suspect hit the 40-year-old Hispanic male victim with a metal pipe. Both the suspect and victim were homeless or transient. 
214,Watts,"11500 block of South Mona Blvd., Los Angeles",HC-214.png,11:10 p.m. August 24,Aggravated assault,Unknown weapon,"The juvenile suspect hit the 32-year-old Hispanic female victim while they were in public housing.The suspect also made gang-related statements. The victim did not know the suspect prior to the crime. The victim was targeted because of her gender. The crime was classified as both a gang-related crime and a hate crime with an ""Anti-Hispanic or Latino"" bias. "
215,Watts,"11500 block of South Mona Blvd., Los Angeles",HC-214.png,7:33 p.m. August 25,Criminal threats,Verbal threat,"The juvenile suspect intimidated and threatened to harm, but not kill, the 32-year-old Hispanic female victim, who was targeted because of her gender. The crime was also classified as a hate crime with an ""Anti-Hispanic or Latino"" bias."
216,Watts,"11500 block of South Mona Blvd., Los Angeles",HC-214.png,7:33 p.m. August 25,Criminal threats,Verbal threat,"The juvenile suspect intimidated and threatened to harm, but not kill, the 11-year-old Hispanic female victim, who was targeted because of her gender. The crime was also classified as a hate crime with an ""Anti-Hispanic or Latino"" bias."
217,Watts,"11500 block of South Mona Blvd., Los Angeles",HC-214.png,7:33 p.m. August 25,Criminal threats,Verbal threat,"The juvenile suspect intimidated and threatened to harm, but not kill, the Hispanic male victim. The crime was also classified as a hate crime with an ""Anti-Hispanic or Latino"" bias."
218,Watts,"11500 block of South Mona Blvd., Los Angeles",HC-214.png,7:33 p.m. August 25,Criminal threats,Verbal threat,"The juvenile suspect intimidated and threatened to harm, but not kill, the five-year-old Hispanic female victim, who was targeted because of her gender. The crime was also classified as a hate crime with an ""Anti-Hispanic or Latino"" bias."
219,Woodland Hills,"Intersection of Topanga Canyon and Ventura Blvd., Los Angeles",HC-219.png,1 p.m. August 27,Battery -- simple assault,Strong arm,"The suspect hit the 54-year-old white male victim, who was targeted because of his religion. The crime was also classified as a hate crime with an ""Anti-Jewish"" bias."
220,Fairfax,"Intersection of Melrose and Orange Grove Ave., Los Angeles",HC-220.png,9:20 p.m. August 27,Vandalism,No weapon used,"The suspect vandalized the property, causing more than $400 worth of damage. The victim was a Hispanic male, who was targeted because of his gender. The crime was also classified as a hate crime with an ""Anti-Black or African American"" bias. "
221,Downtown,"Intersection of 3rd St. and San Pedro St., Los Angeles",HC-221.png,6:26 a.m. August 29,Assault,Strong arm,"The suspect hit the 40-year-old black male victim, who was an Uber or Lyft driver. The victim did not know the suspect prior to the crime. The crime was also classified as a hate crime with an ""Anti-Black or African American"" bias."
222,Watts,"10900 block of Wilmington St., Los Angeles",HC-222.png,9 a.m. September 1,Lewd letters or telephone calls,No weapon used,"The suspect sent a harassing email, text or other electronic communication to a 23-year-old Hispanic female. The victim was also a student. "
223,San Pedro,"500 block of W. 19th St., Los Angeles",HC-223.png,8:30 p.m. September 1,Vandalism,No weapon used ,"The suspect sprayed graffiti on property, causing $400 worth of damage or more. The victim was a 35-year-old Hispanic male. The suspect also wore a hoodie and was driving. "
224,Elysian Park,"Dodger Stadium, Los Angeles",HC-224.png,6:50 p.m. September 2,Battery -- simple assault,Strong arm,"The suspect hit and kicked the 24-year-old Hispanic male victim, knocking him to the ground. The suspect also used profanities and intimidated the victim. The victim was a security guard."
225,Historic South Central,"Vernon Station, Metro Blue Line, Los Angeles",HC-225.png,12:20 a.m. September 9,Brandish a weapon,Knife with a blade six inches or less in length ,"The suspect intimidated, hit and used profanities against the 32-year-old Black male victim, who was standing on a train station platform. The crime was also classified as a gang-related. "
226,Fairfax,"400 block of N. Fairfax Ave., Los Angeles",HC-226.png,5:30 a.m. September 11,Vandalism,No weapon used,"Multiple suspects vandalized a local business, causing $400 worth of damage or more. "
227,Watts,"1600 block of E. 109th Pl., Los Angeles",HC-227.png,12:05 a.m. September 12,Aggravated assault,Strong arm,The suspect choked the 40-year-old Hispanic female victim in a single family dwelling. The suspect and victim were roommates. 
228,Rancho Park,"2950 Overland Ave., Los Angeles",HC-228.png,5:30 p.m. September 13,Brandish a weapon,Knife,The suspect intimidated and threatened to kill a 10-year-old black male student victim while using profanities and racial slurs. The crime took place at Palms Recreation Center.
229,Rancho Park,"2950 Overland Ave., Los Angeles",HC-228.png,5:30 p.m. September 13,Brandish a weapon,Knife,The suspect intimidated and threatened to kill a 12-year-old black male student victim while using profanities and racial slurs. The crime took place at Palms Recreation Center.
230,Rancho Park,"2950 Overland Ave., Los Angeles",HC-228.png,5:30 p.m. September 13,Brandish a weapon,Knife,The suspect intimidated and threatened to kill a 12-year-old black male student victim while using profanities and racial slurs. The crime took place at Palms Recreation Center.
231,Rancho Park,"2950 Overland Ave., Los Angeles",HC-228.png,5:30 p.m. September 13,Brandish a weapon,Knife,The suspect intimidated and threatened to kill a 13-year-old black male student victim while using profanities and racial slurs. The crime took place at Palms Recreation Center.
232,University Park,"3600 block of McClintock Ave., Los Angeles",HC-232.png,4 p.m. September 14,Criminal threats,Verbal threat,"The suspect verbally threatened the 18-year-old victim. The crime was also classified as a non-criminal ""hate incident.""  "
233,Broadway Manchester,"10200 block of Main Street., Los Angeles",HC-233.png,4:30 p.m. September 16,Battery -- simple assault,Strong arm,"The suspect hit the 12-year-old Hispanic male victim, who was targeted because of his gender.  The victim did not know the suspect prior to the crime. The crime was also classified by the LAPD as a hate crime with an ""Anti-White"" bias, though this could be a possible coding error given the victim was also classified as Hispanic.  "
234,Porter Ranch,"18200 Rinaldi Pl., Los Angeles",HC-234.png,10 p.m. September 17,Vandalism,No weapon used ,"The suspect vandalized Temple Ahavat Shalom, a local synagogue. The vandalism caused $400 worth of damage or more. The crime was also classified by the LAPD as a hate crime with an ""Anti-Jewish"" bias."
235,Lincoln Heights,"400 block of S. Avenue 19, Los Angeles",HC-235.png,6:50 p.m. September 23,Vandalism,No weapon used,"The suspect vandalized the 40-year-old Hispanic male victim's car, causing $400 worth of damage or more. "
236,Downtown Los Angeles,"Intersection of 7th St. and San Julian St., Los Angeles",HC-236.png,12:01 a.m. September 24,Brandish a weapon,Handgun,"While on a sidewalk, the suspect brandished a handgun. The 30-year-old black male victim was homeless or transient and was targeted because of his sexual orientation. The crime was also classified by the LAPD as a hate crime with an ""Anti-Gay (Male)"" bias.  "
237,Eagle Rock,"1030 Colorado Blvd., Los Angeles",HC-237.png,3:45 p.m. September 24,Criminal threats,No weapon used ,"The suspect threatened to kill the 47-year-old black male victim. The suspect used a vehicle. In addition to a hate crime, the LAPD classified this as a non-criminal hate incident. "
238,Mid-Wilshire,"Intersection of 3rd St. and Detroit Ave., Los Angeles",HC-238.png,8:30 a.m. September 25,Brandish a weapon,Knife ,"While on a sidewalk, the suspect, who was homeless or transient, brandished a knife. The victim was a 65-year-old black man, who was targeted because of his gender. The crime was also classified by the LAPD as a hate crime with an ""Anti-Black or African American"" bias."
239,Tarzana,"18300 block of Ventura Blvd., Los Angeles",HC-239.png,10 a.m. September 25,Vandalism,No weapon used,"The suspect vandalized an office building, causing $399 worth of damage or less."
240,Castle Heights,"9755 Cattaraugus Ave., Los Angeles ",HC-240.png,9 p.m. September 27,Vandalism,No weapon used,"The suspect vandalized the property of Castle Heights Elementary School, causing $399 worth of damage or less."
241,Arlington Heights,"1400 block of S. Bronson Ave., Los Angeles",HC-241.png,7 p.m. September 28,Criminal threats,Verbal threat,The suspect threatened to kill the 54-year-old Hispanic female victim. The suspect and victim were neighbors. 
242,Highland Park,"Intersection of Figueroa St. and Ave. 56, Los Angeles",HC-242.png,12 p.m. September 29,Battery -- simple assault,Strong arm,"The suspect hit and used profanities against the 26-year-old white male victim. The crime was classified by the LAPD as a hate crime with an ""Anti-Gay (Male)"" bias. "
243,San Pedro,"2100 block of S. Meyler St., Los Angeles",HC-243.png,4 p.m. September 29,Vandalism,No weapon used ,"The suspect vandalized a vehicle by spraying graffiti on it and caused more than $400 worth of damage. The victim was targeted because of a disability. The crime was also classified by the LAPD as a hate crime with an ""Anti-Jewish"" bias."
244,Koreatown,"3900 block of W. 6th St., Los Angeles",HC-244.png,6:30 p.m. September 30,Crime against children,Verbal threat,"The suspect followed the nine-year-old Hispanic male student victim to his home. The suspect shouted racial slurs, swung a weapon and used hate-related language against him. The suspect and victim were neighbors. "
245,Chatsworth,"20600 block of Tribune St., Los Angeles",HC-245.png,3:39 p.m. October 1,Criminal threats,Verbal threat,"The suspect sent a harassing email, text or other electronic communication to the 25-year-old black male victim. The suspect also threatened to kill the victim. "
246,North Hollywood,"5500 block of Lankershim Blvd., Los Angeles",HC-246.png,7:45 p.m. October 1,Aggravated assault,Unknown weapon,"The suspect used force, racial slurs and profanities against the 41-year-old black male victim. "
247,Westwood ,"1200 block of Glendon Ave., Los Angeles",HC-247_1.png,3 p.m. October 4,Vandalism,No weapon used ,"The suspect vandalized the property of a local cemetery, causing $399 worth of damage or less. "
248,Green Meadows,"9700 block of Clovis Ave., Los Angeles",HC-247.png,8:15 p.m. October 4,Criminal threats,Verbal threat,The suspect threatened to kill the 68-year-old black male victim by sending him a threatening email or text message.
249,Boyle Heights,"3000 block of Lanfranco St., Los Angeles",HC-248.png,9 p.m. October 5,Criminal threats,Verbal threat,"The suspect threatened to harm, but not kill, the 16-year-old Hispanic male victim, who was targeted because of his gender nonconformity. The crime was also classified by the LAPD as a hate crime with an ""Anti-Gay (Male)"" bias. "
250,San Pedro,"1100 block of Nagoya Wy., Los Angeles",HC-249.png,5 p.m. October 6,Vandalism,No weapon used ,"The suspect, who wore a hoodie, vandalized a vehicle and caused $400 worth of damage or more. "
251,Beverly Grove,"6100 block of Wilshire Blvd., Los Angeles",HC-251.png,10:25 a.m. October 9,Other assault ,Strong arm,"The suspect spat at the 21-year-old Hispanic female victim, who was targeted because of her gender nonconformity. The crime was also classified by the LAPD as a hate crime with an ""Anti-Lesbian"" bias. "
252,Van Nuys,"15800 block of Saticoy St., Los Angeles ",HC-252.png,7:30 a.m. October 10,Criminal threats,Verbal threat,The suspect threatened the 57-year-old black male victim in a multi-unit dwelling. 
253,Van Nuys,"15800 block of Saticoy St., Los Angeles ",HC-252.png,7:30 a.m. October 10,Criminal threats,Verbal threat,The suspect threatened the 33-year-old Hispanic female victim in a multi-unit dwelling. 
254,Van Nuys,"15800 block of Saticoy St., Los Angeles ",HC-252.png,7:30 a.m. October 10,Criminal threats,Verbal threat,The suspect threatened the 48-year-old Hispanic female victim in a multi-unit dwelling. 
255,Van Nuys,"15800 block of Saticoy St., Los Angeles ",HC-252.png,7:30 a.m. October 10,Criminal threats,Verbal threat,The suspect threatened the 24-year-old Hispanic female victim in a multi-unit dwelling. 
256,Castle Heights,"9755 Cattaraugus Ave., Los Angeles ",HC-256.png,2:30 p.m. October 10,Miscellaneous crime,No weapon used ,The suspect vandalized Castle Heights Elementary School. 
257,Westlake,"600 block of S Coronado St., Los Angeles ",HC-257.png,9:35 a.m. October 11,Aggravated assault,Hammer,"The suspect verbally intimidated, used profanities against and threatened to kill the 54-year-old black male victim, who was homeless or transient. The crime was classified by the LAPD as a hate crime with an ""Anti-Black or African American"" bias.  "
258,Westlake,"Intersection of Wilshire Blvd. and Alvarado St., Los Angeles",HC-258.png,11:45 a.m. October 12,Battery -- simple assault,Strong arm,"The suspect pushed the 35-year-old Hispanic male victim, knocking him to the ground. "
259,Florence,"8200 block of San Pedro St., Los Angeles",,2 p.m. October 12,Battery -- simple assault,Strong arm,"The suspect hit and pulled the hair of the 23-years-old transgender Hispanic victim. The crime was classified by the LAPD as a hate crime with an ""anti-gender nonconformity"" bias. The suspect spoke Spanish. "
260,Exposition Park,"1200 block of W. 36th Pl., Los Angeles ",HC-259.png,4 p.m. October 12,Battery -- simple assault,Strong arm,The suspect used hate-related language and racial slurs against the 28-year-old black male victim and knocked him to the ground. The suspect also bit him and used a vehicle for the crime. The victim was a delivery person. 
261,Panorama City,"9700 Woodman Ave., Los Angeles",HC-261.png,6 p.m. October 14,Vandalism,No weapon used,"The suspect vandalized a local recycling center, causing $399 worth of damage or less. The victim was reported as a 48-year-old black man. "
262,Echo Park,"700 block of Echo Park Ave., Los Angeles",HC-262.png,12:20 p.m. October 16,Aggravated assault,Strong arm,"Mutiple suspects overwhelmed the 60-year-old black male victim, who was homeless or transient. They used racial slurs against him, threatened to harm him and bit him."
263,Pacoima,"10600 block of Telfair Ave., Los Angeles",HC-263.png,9:10 p.m. October 18,Aggravated assault,Other weapon,The suspect threw an unknown object at the 19-year-old Hispanic female victim. 
264,Pacoima,"10600 block of Telfair Ave., Los Angeles",HC-263.png,9:10 p.m. October 18,Aggravated assault,Other weapon,The suspect threw an unknown object at the 23-year-old black male victim. 
265,Florence,"Intersection between 80th St. and McKinley Ave., Los Angeles",HC-265.png,1 a.m. October 20,Battery -- simple assault,Strong arm,"Multiple suspects overwhelmed the 23-year-old gay male victim, who was targeted due to his sexual orientation. They hit him and used hate-related language against him. The victim did not know the suspects prior to the crime. The crime was also classified by the LAPD as a hate crime with an ""Anti-Gay (Male)"" bias. "
266,Westlake ,"600 block of South Rampart Blvd., Los Angeles",HC-266.png,6:30 a.m. October 20,Aggravated assault,Semi-automatic pistol,"The suspect exited from their vehicle and aimed a gun at the 20-year-old Hispanic transgender male victim. The suspect also spoke Spanish, kicked and used profanities against him. The crime was also classified by the LAPD as a hate crime with an ""Anti-Transgender"" bias. "
267,Chinatown,"700 block of North Broadway, Los Angeles",HC-267.png,9:03 p.m. October 23,Robbery,Strong arm,"The suspect pushed and kicked the 28-year-old white transgender male victim, knocking him to the ground. The suspect then removed properties from the victim, who was targeted because of his sexual orientation. The crime was also classified by the LAPD as a hate crime with an ""Anti-Transgender"" bias. "
268,University Park,"Intersection of Flower St. and Adams Blvd., Los Angeles",HC-268.png,11:15 a.m. October 27,Battery -- simple assault,Strong arm,"Multiple suspects overwhelmed the 58-year-old Hispanic male victim while using profanities at a parking lot. The victim was targeted because of his gender and the crime was also classified by the LAPD as a hate crime with an ""Anti-Hispanic / Latino"" bias."
269,Koreatown,"3663 Wilshire Blvd., Los Angeles ",HC-269.png,11 p.m. October 31,Miscellaneous crime,No weapon used,"The suspect sprayed graffiti on the property of Wilshire Boulevard Temple, a local synagogue. The crime was also classified by the LAPD as a non-criminal ""hate incident."" "
270,Downtown Los Angeles,"Intersection of 7th and San Pedro St., Los Angeles",HC-270.png,1:30 a.m. November 1,Battery -- simple assault,Strong arm,"The suspect hit the 39-year-old Hispanic transgender female victim who was homeless or transient. The victim was targeted because of her sexual orientation. The crime was also classified by the LAPD as a hate crime with an ""Anti-Transgender"" bias. "
271,Koreatown,"700 block of S Catalina St., Los Angeles",HC-271.png,9:32 a.m. November 1,Vandalism,No weapon used,"The suspect sprayed graffiti on the property of a local high school, causing $399 worth of damage or less."
272,Hollywood,"6800 block of Hollywood Blvd., Los Angeles",HC-272.png,4 p.m. November 1,Criminal threats,Verbal threat,"The suspect sent a threatening email or text messsage to a victim of unknown age, sex and ethnicity. "
273,Valley Glen,"5850 Laurel Canyon Blvd., Los Angeles",HC-273.png,4:58 p.m. November 1,Criminal threats,Verbal threat,"The suspect threatened to kill a male victim, who was targeted because of his disability. The crime was also classified by the LAPD as a hate crime with an ""Anti-Jewish"" bias. "
274,Boyle Heights,"Intersection of Olympic Blvd. and Mirasol St., Los Angeles",HC-274.png,11:40 a.m. November 2,Aggravated assault,Other weapon,"The homeless or transient suspect attacked the 10-year-old Hispanic female victim, who was targeted due to her gender. The crime was also classified by the LAPD as a hate crime with an ""Anti-Hispanic or Latino"" bias. "
275,Boyle Heights,"Intersection of Olympic Blvd. and Mirasol St., Los Angeles",HC-274.png,11:40 a.m. November 2,Aggravated assault,Other weapon,"The homeless or transient suspect swung their weapon against the 50-year-old Hispanic female victim, who was targeted due to her gender. The crime was also classified by the LAPD as a hate crime with an ""Anti-Hispanic or Latino"" bias. "
276,Boyle Heights,"Intersection of Olympic Blvd. and Mirasol St., Los Angeles",HC-274.png,11:40 a.m. November 2,Aggravated assault,Other weapon,"The homeless or transient suspect swung their weapon against the Hispanic female victim of unknown age, who was targeted due to her gender. The crime was also classified by the LAPD as a hate crime with an ""Anti-Hispanic or Latino"" bias. "
277,Westlake,"1200 block of 8th St., Los Angeles",HC-277.png,11:05 a.m. November 5,Violation of court order,No weapon used,The suspect violated a restraining order placed against them. The victim was a 34-year-old black man and was a neighbor of the suspect. 
278,Canoga Park ,"8200 block of Topanga Canyon Blvd., Los Angeles",HC-278.png,3:20 p.m. November 7,Aggravated assault,Vehicle ,The suspect hit the 30-year-old Hispanic male victim with their car. The victim used racial slurs. 
279,Valley Glen,"Intersection of Van Nuys Blvd. and Saticoy St., Los Angeles",HC-279.png,3:15 p.m. November 9,Battery -- simple assault,Strong arm,The suspect grabbed the 54-year-old black female victim who was on the sidewalk. 